client_name,invoice_number,invoice_date,due_date,item_description,item_quantity,item_total_price,tax,discount,total,payment_due_date,bank_name,account_number,payment_method
Estrada-Vasquez,29470022,02/17/2019,,Imitation Wool Carpet Rugs Koala Panda Plush Living Room Blankets Non Slip Decor,"5,00","143,61","52,23",,"574,51",,,GB50VRS02423611510258,
Estrada-Vasquez,29470022,02/17/2019,,Romantic Rose Flowers Area Rugs Kitchen Living Room Floor Mat Non-slip Carpets,"5,00","73,53","52,23",,"574,51",,,GB50VRS02423611510258,
Estrada-Vasquez,29470022,02/17/2019,,3D Printed Mat Vortex Illusion Living room Rug Carpet Floors Doors Round Mat,"3,00","38,38","52,23",,"574,51",,,GB50VRS02423611510258,
Estrada-Vasquez,29470022,02/17/2019,,handmade carpet rug vtg moroccan boucherouite wollen 9.4*3.5 / 288cm*107cm,"1,00","318,99","52,23",,"574,51",,,GB50VRS02423611510258,
Willams-Foster,21722776,11/05/2019,,"HP Desktop Computer 400 G1 Core i3 3.4GHz 8GB 256GB SSD 19"" LCD Windows 10 PC","5,00","769,73","198,98",,"2188,73",,,GB18KUOF34054232333666,
Willams-Foster,21722776,11/05/2019,,Alarco Gaming PC Desktop Computer Intel i5v 8Gv WIN 10/1Tb NVIDIA GTX 650 1GB,"1,00","550,00","198,98",,"2188,73",,,GB18KUOF34054232333666,
Willams-Foster,21722776,11/05/2019,,Fast i7 RGB Gaming Desktop PC Computer VR-Ready WiFi AAA Fortnite GTAV PUBG IG3,"1,00","869,00","198,98",,"2188,73",,,GB18KUOF34054232333666,
Martin Inc,28610769,06/19/2017,,Nintendo 64 N64 Console Complete in Box Mint Beautiful! From Japan!,"5,00","484,95","197,49",,"2,172,39",,,GB11PTYT82637652514320,
Martin Inc,28610769,06/19/2017,,"""New"" Nintendo 3DS XL New Black Handheld Console (RED-001) w/ Charger & Stylus","5,00","687,44","197,49",,"2,172,39",,,GB11PTYT82637652514320,
Tran PLC,79637771,09/26/2011,,Pretty Woman Small Large Long Floor Carpet Area Rugs Various Size Soft Rug,"4,00","159,72","5,034,43",,"55,378,76",,,GB39NPVM355235523882007872,
Tran PLC,79637771,09/26/2011,,Floor Mat Kitchen Bedroom Bathroom Non Slip Doormat Carpet Area Rug 180x60cm,"2,00","69,48","5,034,43",,"55,378,76",,,GB39NPVM355235523882007872,
Tran PLC,79637771,09/26/2011,,Nordic Style Round Carpet Blue Green Stitching Pattern Decor Rug Room Area Rugs,"4,00","111,32","5,034,43",,"55,378,76",,,GB39NPVM355235523882007872,
Tran PLC,79637771,09/26/2011,,Yilong 5'x7'' Handknotted Silk Carpet Home Interior Classic Luxury Area Rug 1047,"5,00","46,200,00","5,034,43",,"55,378,76",,,GB39NPVM355235523882007872,
Tran PLC,79637771,09/26/2011,,Floor Mat Carpet Doormat Abstract Painting Tree Area Rug Room Decor 180x60cm,"1,00","38,25","5,034,43",,"55,378,76",,,GB39NPVM355235523882007872,
Tran PLC,79637771,09/26/2011,,Yilong 2.5'x4'' Hand Knotted Silk Garden Scene Rug Indoor Oriental Carpet 352B,"4,00","8,800,00","5,034,43",,"55,378,76",,,GB39NPVM355235523882007872,
Scott-Garcia,33691533,07/25/2014,,Dell Optiplex 9010 PC Computer,"5,00","549,45","329,05",,"3,619,50",,,GB79HWNL47420369669125,
Scott-Garcia,33691533,07/25/2014,,HP 8300 Slim Desktop Small Computer PC i5 3.2GHz 4GB 500GB Windows 10 Pro WiFi,"4,00","439,96","329,05",,"3,619,50",,,GB79HWNL47420369669125,
Scott-Garcia,33691533,07/25/2014,,Custom Built Windows 98 Retro Gaming Industrial PC Computer P2 B Montego II 5GB,"1,00","450,99","329,05",,"3,619,50",,,GB79HWNL47420369669125,
Scott-Garcia,33691533,07/25/2014,,Custom Build Dell Desktop Computer i5 I 16GB 1TB SSD I HDMI Windows 10 PC WiFi,"4,00","435,60","329,05",,"3,619,50",,,GB79HWNL47420369669125,
Scott-Garcia,33691533,07/25/2014,,$5.00 Desktop Computers!,"5,00","27,50","329,05",,"3,619,50",,,GB79HWNL47420369669125,
Scott-Garcia,33691533,07/25/2014,,CAD Solidworks Video Photo Editing Workstation 64GB 8C Xeon Quadro Computer NVME,"3,00","1,716,00","329,05",,"3,619,50",,,GB79HWNL47420369669125,
Williams-Lewis,52574707,04/12/2019,,Boden Wren Ponte Midi Dress w/Color Block Hem NWT Size 10P Black Pink 10 Petite,"4,00","259,56","65,51",,"720,57",,,GB56JDHT14291079780637,
Williams-Lewis,52574707,04/12/2019,,DESIGNER MICHAEL KORS DRESS SIZE S,"3,00","66,00","65,51",,"720,57",,,GB56JDHT14291079780637,
Williams-Lewis,52574707,04/12/2019,,Speechless Green Brown White Psychedelic Sleeveless Dress Size Large,"4,00","30,80","65,51",,"720,57",,,GB56JDHT14291079780637,
Williams-Lewis,52574707,04/12/2019,,Jams World Hawaiian D Dress Rayon SZ.L,"1,00","71,50","65,51",,"720,57",,,GB56JDHT14291079780637,
Williams-Lewis,52574707,04/12/2019,,Weekend MaxMara Womens Blue Cotton Floral Casual Wrap Dress 10 BHFO 9284,"1,00","94,87","65,51",,"720,57",,,GB56JDHT14291079780637,
Williams-Lewis,52574707,04/12/2019,,Xhilaration Womens L Burgandy Boho Embroidered Festival Mini Dress NEW,"3,00","49,33","65,51",,"720,57",,,GB56JDHT14291079780637,
Williams-Lewis,52574707,04/12/2019,,Lilly Pulitzer dress Size 2,"3,00","148,50","65,51",,"720,57",,,GB56JDHT14291079780637,
"Ball, Smith and Rhodes",53339803,09/11/2018,,Yilong 5.5'x8'' Handwoven Silk Area Rugs Red Living Room Classic Carpets 1696,"1,00","3 630,00","1 530,00",,"16 830,00",,,GB94/WPV41308802932072,
"Ball, Smith and Rhodes",53339803,09/11/2018,,YILONG 4'x6'' Golden Handmade Area Carpet Tribal Hand Knotted Silk Rugs 074B,"1,00","3 960,00","1 530,00",,"16 830,00",,,GB94/WPV41308802932072,
"Ball, Smith and Rhodes",53339803,09/11/2018,,Yilong 5'x7'' Handknotted Silk Carpet Home Interior Classic Luxury Area Rug 1047,"1,00","9 240,00","1 530,00",,"16 830,00",,,GB94/WPV41308802932072,
Martinez-Silva,23128566,08/27/2020,,A History of the Indians of the United States (The,"4,00","19,76","12,33",,"135,62",,,GB97DYPW34270098642863,
Martinez-Silva,23128566,08/27/2020,,Experience by Martin Amis,"2,00","10,76","12,33",,"135,62",,,GB97DYPW34270098642863,
Martinez-Silva,23128566,08/27/2020,,Language and Woman's Place by Robin Lakoff,"5,00","22,49","12,33",,"135,62",,,GB97DYPW34270098642863,
Martinez-Silva,23128566,08/27/2020,,Motorcycle Journeys Through North America : A Guide for Choosing and Planning...,"2,00","13,20","12,33",,"135,62",,,GB97DYPW34270098642863,
Martinez-Silva,23128566,08/27/2020,,The Epic of Gilgamesh,"2,00","9,88","12,33",,"135,62",,,GB97DYPW34270098642863,
Martinez-Silva,23128566,08/27/2020,,Bobby Fischer S Chess Games,"4,00","59,53","12,33",,"135,62",,,GB97DYPW34270098642863,
"Hodges, Lang and Thompson",13110923,12/21/2013,,"54 Inches Marble Dinning Table
Top Hand Crafted Reception Table
Home Furniture","4,00","19,588,80","2,780,80",,"30,588,80",,,GB32AMZY31340900461145,
"Hodges, Lang and Thompson",13110923,12/21/2013,,"24""x24"" Top Marble White Table
Carnelian Marquetry Interior
Thanksgiving Gift","5,00","11,000,00","2,780,80",,"30,588,80",,,GB32AMZY31340900461145,
Kelly Ltd,66045137,08/09/2016,,Wagner Vineyards uncork new york Wine Glass,"2,00","8,78","29,18",,"320,94",,,GB41ZNEN107310731547653308,
Kelly Ltd,66045137,08/09/2016,,Mikasa Cheers Metallics Gold 14oz Wine Glasses With Original Stickers -Set Of 2,"3,00","32,97","29,18",,"320,94",,,GB41ZNEN107310731547653308,
Kelly Ltd,66045137,08/09/2016,,"One Pebbled Confetti Glass Wine Water Goblet 12 OZ 8"" tall","2,00","19,78","29,18",,"320,94",,,GB41ZNEN107310731547653308,
Kelly Ltd,66045137,08/09/2016,,500g Active Dry Yeast for Alcohol Fermentation / White Wine Brewing with sacchar,"1,00","21,99","29,18",,"320,94",,,GB41ZNEN107310731547653308,
Kelly Ltd,66045137,08/09/2016,,Unicorn Wine Bottle Display,"5,00","87,18","29,18",,"320,94",,,GB41ZNEN107310731547653308,
Kelly Ltd,66045137,08/09/2016,,Iron Glass Holder Organizer Wall Mounted Kitchen Bar 5 Bottles Wine Rack Display,"3,00","146,29","29,18",,"320,94",,,GB41ZNEN107310731547653308,
Kelly Ltd,66045137,08/09/2016,,Stainless Steel Reusable Vacuum Sealed Champagne Red Wine Bottle Stopper Cap New,"3,00","3,96","29,18",,"320,94",,,GB41ZNEN107310731547653308,
Taylor-Howard,86561552,03/09/2018,,"FAST Dell Optiplex Windows 10 Desktop Computer Tower C2D 4GB DVD WiFi 17"" LCD","5,00","687,23","300,47",,"3,305,18",,,GB63VZHN76142928623566,
Taylor-Howard,86561552,03/09/2018,,Sentry Gaming Computer I Ryzen 3 3200G - 16 GB Ram I Build-to-Order,"4,00","617,96","300,47",,"3,305,18",,,GB63VZHN76142928623566,
French-Cooper,40725651,06/15/2015,,Faux Fur Star Heart Bedroom Mat Non Slip Shaggy Area Rug Fluffy Floor Carpet Rug,"3,00","184,01","2 912,96",,"32 042,55",,,GB40CAEA99729729747090871,
French-Cooper,40725651,06/15/2015,,3D Starry sky Carpet Child Play Area Rug Kids Room Carpets Mat for Living Room,"4,00","51,44","2 912,96",,"32 042,55",,,GB40CAEA99729729747090871,
French-Cooper,40725651,06/15/2015,,Yilong 2'x3' Traditional Handmade Silk Area Rugs Kid Friendly Floor Carpet 356B,"4,00","280,00","2 912,96",,"32 042,55",,,GB40CAEA99729729747090871,
French-Cooper,40725651,06/15/2015,,3D Stones Florals Corridor Carpet Doorway Mat Soft Antislip Living Room Area Rug,"2,00","33,42","2 912,96",,"32 042,55",,,GB40CAEA99729729747090871,
French-Cooper,40725651,06/15/2015,,Room Mat Morocco Rug Round Bohemian Style Tassel Carpet Door Decor Blanket,"2,00","60,70","2 912,96",,"32 042,55",,,GB40CAEA99729729747090871,
French-Cooper,40725651,06/15/2015,,YILONG 6.56'x9.84' Handmade Silk Carpet Blue Bedroom Indoor Area Rug 0785,"5,00","26 400,00","2 912,96",,"32 042,55",,,GB40CAEA99729729747090871,
French-Cooper,40725651,06/15/2015,,Chindi Rugs Carpet New Design Bohemian Garden Yoga Mat Indian Kilim Counterpane,"1,00","32,99","2 912,96",,"32 042,55",,,GB40CAEA99729729747090871,
Morris-Trujillo,66537515,11/25/2018,,"VINTAGE IRON WINE BOTTLE HOLDER CADDY-HAND WROUGHT, CUT, SOLDERED","5,00","123,75","150,75",,"1,658,25",,,GB36GFUF93342035354916,
Morris-Trujillo,66537515,11/25/2018,,Press Wine 15L Fruit Cider Apple Crusher Juice Grape Stainless Maker Grapes New,"5,00","1,534,50","150,75",,"1,658,25",,,GB36GFUF93342035354916,
"Harris, Walker and Lopez",28661957,04/07/2013,,a pair of wine glasses drawer e,1,"16,06","29,89",,"328,79",,,GB060DPK69551914162205,
"Harris, Walker and Lopez",28661957,04/07/2013,,VTG 1970s MCM Brown Steel Tube Wall or Desk Mounted 12-Wine Rack Bottle Holder,"2,00","74,80","29,89",,"328,79",,,GB060DPK69551914162205,
"Harris, Walker and Lopez",28661957,04/07/2013,,Wine Glasses Goblets Pair Clear Glass,"3,00","39,60","29,89",,"328,79",,,GB060DPK69551914162205,
"Harris, Walker and Lopez",28661957,04/07/2013,,Wine Glass Hanging Metal Wine Cup Rack Bar Double Stemware Glass Bottle Goblet,"3,00","63,03","29,89",,"328,79",,,GB060DPK69551914162205,
"Harris, Walker and Lopez",28661957,04/07/2013,,Pier 1 Multi-color Cordial Liqueur Wine Glasses Set of 4,"4,00","132,00","29,89",,"328,79",,,GB060DPK69551914162205,
"Harris, Walker and Lopez",28661957,04/07/2013,,New Never Used CROFTON CHEFS COLLECTION WINE COOLING STICK IN PACKAGE,"1,00","3,30","29,89",,"328,79",,,GB060DPK69551914162205,
"Conrad, Smith and Watkins",17548173,10/20/2012,,Wall Mounted Upside Down Wine Bottle Rack Goblet Glass Holder Storage Organizer,"1,00","16,48","128,09",,"1,408,94",,,GB93UZRN614151415520236090,
"Conrad, Smith and Watkins",17548173,10/20/2012,,Wine Openers.Heavy Duty Stainless Steel Hinges Wine Key.12Pcs/Random Color.,"3,00","98,97","128,09",,"1,408,94",,,GB93UZRN614151415520236090,
"Conrad, Smith and Watkins",17548173,10/20/2012,,New without boxes heavy duty plastic wine glasses lot of 16,"2,00","28,49","128,09",,"1,408,94",,,GB93UZRN614151415520236090,
"Conrad, Smith and Watkins",17548173,10/20/2012,,EU Blichmann Riptide Brewing Pump - Hombrew Beer Wine Food Grade Stainless Steel,"5,00","1,100,00","128,09",,"1,408,94",,,GB93UZRN614151415520236090,
"Conrad, Smith and Watkins",17548173,10/20/2012,,Pier 1 Multi-color Cordial Liqueur Wine Glasses Set of 4,"5,00","165,00","128,09",,"1,408,94",,,GB93UZRN614151415520236090,
Taylor-Robertson Briggs Inc,48239873,09/19/2016,,Papaya Floral Dress Medium Blue White,"3,00","29,70","8,87",,"97,52",,,GB885IVN15952505043461,
Taylor-Robertson Briggs Inc,48239873,09/19/2016,,Fashion Sexy Backless Tight-fitting Halter Dress Cocktail Party Weeding Elegant,"3,00","29,04","8,87",,"97,52",,,GB885IVN15952505043461,
Taylor-Robertson Briggs Inc,48239873,09/19/2016,,J Crew A Line Ponte Dress Red Size 0,"3,00","38,78","8,87",,"97,52",,,GB885IVN15952505043461,
"Case, Wagner and Johnson",16581981,07/26/2016,,NEW TOMMY HILFIGER RED WHITE BLUE #5 COLOR BLOCK BEACH SANDALS BOYS KIDS 8/9,"5,00","189,75","20,23",,"222,58",,,GB67/WC529906137954735,
"Case, Wagner and Johnson",16581981,07/26/2016,,Kid's Unicorn Sunglasses Girls Rainbow Mythical Fashion Shades,"3,00","32,83","20,23",,"222,58",,,GB67/WC529906137954735,
Hernandez LLC,22323078,05/11/2016,,NIB Waterford Seahorse Crystal Wine Bottle Stopper with Tag Ireland,"1,00","65,99","11,99",,"131,92",,,GB27FEMM495049504830524204,
Hernandez LLC,22323078,05/11/2016,,"Waterford Elegance Chardonnay Wine Glass, Pair - 40001097 New In Box","3,00","65,93","11,99",,"131,92",,,GB27FEMM495049504830524204,
Washington and Sons,27188556,03/10/2019,,"26""x26"" Top White Marble Coffee Table Historical Taj Mahal Art Black Friday Gift",2,"904,00","1,691,32",,"18,604,53",,,GB14GIRC85339920238877,
Washington and Sons,27188556,03/10/2019,,"18""x14"" Modern Top Oval Coffee Table With 15"" Tall Stand Christmas Gift Décor",1,"800,00","1,691,32",,"18,604,53",,,GB14GIRC85339920238877,
Washington and Sons,27188556,03/10/2019,,"15""x15"" White Marble Coffee Table Top With 15"" Tall Stand Semi Precious Art Deco",2,"303,96","1,691,32",,"18,604,53",,,GB14GIRC85339920238877,
Washington and Sons,27188556,03/10/2019,,13 Inch Marble Coffee Table Stone Game Table Mother of Pearl with Check Pattern,"905,25",,"1,691,32",,"18,604,53",,,GB14GIRC85339920238877,
"Phillipsport,",71963176,01/31/2019,,Pornhub PREMIUM LIFETIME AUTO RENEW I FAST DELIVERY V,"5,00","21,95","12,92",,"142,11",,,GB71GEES63663663942802962,
"Phillipsport,",71963176,01/31/2019,,Gourmet s Old Vienna Cookbook A Viennese Memoir,"1,00","13,02","12,92",,"142,11",,,GB71GEES63663663942802962,
"Phillipsport,",71963176,01/31/2019,,The Neuroscience of Emotion A New Synthesis by Ralph Adolphs,"4,00","43,96","12,92",,"142,11",,,GB71GEES63663663942802962,
"Phillipsport,",71963176,01/31/2019,,The Epic of Gilgamesh,"5,00","24,70","12,92",,"142,11",,,GB71GEES63663663942802962,
"Phillipsport,",71963176,01/31/2019,,Nutcracker Christmas Tales New Sealed Illustrated Leather Bound Deluxe Hardback,"1,00","38,49","12,92",,"142,11",,,GB71GEES63663663942802962,
"Wilson, Wagner and Newman",22537855,07/03/2013,,Muted Vegetable Dye Khootan Oriental Area Rug Hand-knotted Floral 8'x11' Carpet,"4,00","8,868,82","959,91",,"10,559,00",,,GB98FOPY29496953726939,
"Wilson, Wagner and Newman",22537855,07/03/2013,,Imitation Wool Carpet Rugs Koala Panda Plush Living Room Blankets Non Slip Decor,"5,00","143,61","959,91",,"10,559,00",,,GB98FOPY29496953726939,
"Wilson, Wagner and Newman",22537855,07/03/2013,,"Moroccan Handmade Amazigh Carpet 9'2"" X 4'5""","2,00","723,80","959,91",,"10,559,00",,,GB98FOPY29496953726939,
"Wilson, Wagner and Newman",22537855,07/03/2013,,YILONG 1.2x1.7 300L Handmade Tree of Life Silk Carpet Home Tapestry LH693A,"2,00","413,60","959,91",,"10,559,00",,,GB98FOPY29496953726939,
"Wilson, Wagner and Newman",22537855,07/03/2013,,Carton Tiger Print Area Rug Faux Skin Rug Hide Cute Carpet Floor Mat Home Decor,"2,00","24,18","959,91",,"10,559,00",,,GB98FOPY29496953726939,
"Wilson, Wagner and Newman",22537855,07/03/2013,,7x10 Diamond Geometric Rugs Contemporary Black Color Large Mat Dhurrie Carpet,"1,00","385,00","959,91",,"10,559,00",,,GB98FOPY29496953726939,
Cox LLC,41997527,02/02/2021,,3X5 Ft Cotton Chindi Rug Dining Room Carpet Floor Mat Handwoven Area Rug Throw,"4,00","78,54","7,14",,"78,54",,,GB95XJQZ22238493620481,
"Walters, Cantu and Duran",99053443,06/04/2019,,One Year through the Bible by David R. Veerman,"5,00","24,70","20,89",,"229,79",,,GB78Q5ZR27259773261475,
"Walters, Cantu and Duran",99053443,06/04/2019,,A History of the Indians of the United States (The,"1,00","4,94","20,89",,"229,79",,,GB78Q5ZR27259773261475,
"Walters, Cantu and Duran",99053443,06/04/2019,,Game of Thrones: The Poster Collection (Paperback or Softback),"5,00","114,79","20,89",,"229,79",,,GB78Q5ZR27259773261475,
"Walters, Cantu and Duran",99053443,06/04/2019,,In the Footsteps of the Russian Snowman (Paperback or Softback),"3,00","85,37","20,89",,"229,79",,,GB78Q5ZR27259773261475,
"Nancy, East Catherinestad",87433420,04/26/2015,,"Forgotten Fantasy : Sunday..., Hardcover, Brand New, Free shipping in the US","5,00","589,00","63,54",,"698,91",,,GB611SRR62084785140637,
"Nancy, East Catherinestad",87433420,04/26/2015,,Against All Odds : The Untold Story of Canada's Unlikely Hockey Heroes,"4,00","19,40","63,54",,"698,91",,,GB611SRR62084785140637,
"Nancy, East Catherinestad",87433420,04/26/2015,,Astronomy: A Visual Guide,"4,00","22,09","63,54",,"698,91",,,GB611SRR62084785140637,
"Nancy, East Catherinestad",87433420,04/26/2015,,In the Footsteps of the Russian Snowman (Paperback or Softback),"2,00","56,91","63,54",,"698,91",,,GB611SRR62084785140637,
"Nancy, East Catherinestad",87433420,04/26/2015,,"300,000 PLR Articles, 2,000 E-books + More","3,00","6,57","63,54",,"698,91",,,GB611SRR62084785140637,
"Nancy, East Catherinestad",87433420,04/26/2015,,BOOOBMWN41 The Complete Everyday Cookbook,"1,00","4,94","63,54",,"698,91",,,GB611SRR62084785140637,
Price-Bishop,64218159,11/09/2013,,"The Cheater (Fear Street, No. 18) by R. L. Stine","4,00","18,00","5,88",,"64,67",,,GB841GSP08278890356055,
Price-Bishop,64218159,11/09/2013,,The Picture of Dorian Gray by Oscar Wilde,"1,00","4,94","5,88",,"64,67",,,GB841GSP08278890356055,
Price-Bishop,64218159,11/09/2013,,Luke's Fate Star Wars,"4,00","19,76","5,88",,"64,67",,,GB841GSP08278890356055,
Price-Bishop,64218159,11/09/2013,,All American History Vol 1 Student Reader,"2,00","21,98","5,88",,"64,67",,,GB841GSP08278890356055,
"Simmons, Jones and Jones",78190005,01/09/2016,,Dell Desktop Computer Optiplex 790 Tower PC Core i5 8GB 500GB Windows 10 Pro,"1,00","164,94","376,95",,"4,146,50",,,GB79ZQIE46612682783689,
"Simmons, Jones and Jones",78190005,01/09/2016,,"IBUYPOWER Gaming Computer AMD Ryzen 3 3100, Radeon RX 550, 240GB SSD, WiFi Ready","2,00","1,121,89","376,95",,"4,146,50",,,GB79ZQIE46612682783689,
"Simmons, Jones and Jones",78190005,01/09/2016,,Quality Dell Windows XP Pro Desktop PC Computer Core 2 vPro 4Gb 250Gb DVD WiFi,"5,00","659,94","376,95",,"4,146,50",,,GB79ZQIE46612682783689,
"Simmons, Jones and Jones",78190005,01/09/2016,,Dell Optiplex 7050 Micro computer.. i5-6500T 8GB RAM 256GB SSD Windows 10,"5,00","1,375,00","376,95",,"4,146,50",,,GB79ZQIE46612682783689,
"Simmons, Jones and Jones",78190005,01/09/2016,,Dell Optiplex Windows 10 Pro Desktop Computer PC i5 4th Gen 3.2GHz 8 GB 2 TB HDD,"5,00","824,73","376,95",,"4,146,50",,,GB79ZQIE46612682783689,
Castillo-Obrien,29333870,03/06/2021,,"FASHIONCRAFT
Love Is A Voyage'' Wine Bottle Topper
Silvertoned 3 1/2""","1,00","10,99","1,00",,"10,99",,,GB82D)FU82273146210425,
Brian Course,48757480,02/28/2021,,Wine Glass Holder Shelf,"4,00","66,84","24,57",,"270,28",,,GB24RZ0Y69539539046154544,
Brian Course,48757480,02/28/2021,,Japanese Style Bar Iron Under Cabinet Stemware Rack,"5,00","55,00","24,57",,"270,28",,,GB24RZ0Y69539539046154544,
Brian Course,48757480,02/28/2021,,Decorative Wine Holder In The Form Of A Bicycle,"5,00","33,00","24,57",,"270,28",,,GB24RZ0Y69539539046154544,
Brian Course,48757480,02/28/2021,,Nba Dallas Mavericks Opal Wine Tumbler New,"3,00","49,47","24,57",,"270,28",,,GB24RZ0Y69539539046154544,
Brian Course,48757480,02/28/2021,,HAND PAINTED WINE GLASSES GRAPE DESIGN SET OF FOUR,"2,00","21,98","24,57",,"270,28",,,GB24RZ0Y69539539046154544,
Brian Course,48757480,02/28/2021,,VTG BRASS BRONZE GLASS GRAPE LEAVES ORNATE WINE BOTTLE HOLDER,"4,00","44,00","24,57",,"270,28",,,GB24RZ0Y69539539046154544,
Cunningham-Richmond,19832522,09/27/2016,,Caslon Blue White Sleeveless Belted Ruffle Rayon Dress Sz L,"5,00","27,45","6,99",,"76,91",,,GB761RQX71544776249289,
Cunningham-Richmond,19832522,09/27/2016,,Talbots Petite 8 Navy & White Dandelion Puffs Sleeveless Dress,"3,00","49,47","6,99",,"76,91",,,GB761RQX71544776249289,
Rogers Inc,70646996,12/04/2018,,fire los angeles dress Medium,"3,00","21,45","8,85",,"97,33",,,GB85DATC50901204220301,
Rogers Inc,70646996,12/04/2018,,Banana Republic Maroon,"3,00","16,50","8,85",,"97,33",,,GB85DATC50901204220301,
Rogers Inc,70646996,12/04/2018,,Abstract ruffled wrap Dress With slip XS 0 Coolibar Sun Protection Tunic Dress Cover Up Size Small S Pink Pattern UPF 50,"2,00","59,38","8,85",,"97,33",,,GB85DATC50901204220301,
"Hernandez, Brown and Rodriguez",78984257,10/20/2019,,Rectangle Area Rug Wood Grain Carpet Mat for Living Room Bedroom - 180x60cm,"3,00","108,27","2,769,84",,"30,468,27",,,GB40ZQFP78280907734742,
"Hernandez, Brown and Rodriguez",78984257,10/20/2019,,YILONG 4'x6'' Vintage Handmade Carpet Medallion Porch Hand Knotted Silk Rugs 080B,"1,00","3,960,00","2,769,84",,"30,468,27",,,GB40ZQFP78280907734742,
"Hernandez, Brown and Rodriguez",78984257,10/20/2019,,YILONG 4'x6'' Golden Handmade Carpet Kid Friendly Hand Knotted Silk Rugs 088B,"5,00","26,400,00","2,769,84",,"30,468,27",,,GB40ZQFP78280907734742,
Chang-Doyle,84408619,08/19/2019,,"Dell 7010 Desktop Computer
Intel Core i5 3.10 Windows 10
pro 64 500gb HD 4gb Ram","1,00","265,76","517,03",,"5,687,30",,,GB77CUHU67202355617607,
Chang-Doyle,84408619,08/19/2019,,"Dell Optiplex 7040 SFF PC Computer
Intel Core i5-6500
3.2GHz 4GB RAM 500GB HDD","1,00","109,99","517,03",,"5,687,30",,,GB77CUHU67202355617607,
Chang-Doyle,84408619,08/19/2019,,"Sentry Gaming Computer -
Ryzen 3 3200G I 16 GB Ram I
Build-to-Order","2,00","1,308,98","517,03",,"5,687,30",,,GB77CUHU67202355617607,
Chang-Doyle,84408619,08/19/2019,,"Intel core i7 Geforce GTX1060
Super Game Gamer Master
Gaming Desktop Computer PC","5,00","3,794,95","517,03",,"5,687,30",,,GB77CUHU67202355617607,
Chang-Doyle,84408619,08/19/2019,,"HP T520 Thin Client Computer
AMD GX-212JC 1.2GHz 4GB RAM
TESTED !IREAD BELOW!!","5,00","207,63","517,03",,"5,687,30",,,GB77CUHU67202355617607,
"Jones, Swanson and Smith",93769983,06/01/2019,,"52""x26"" White Marble Top Center Table Carnelian Pietradura Inlaid Halloween Gift","3,00","664,10","2,630,94",,"28,940,34",,,GB55CCPV37554454518615,
"Jones, Swanson and Smith",93769983,06/01/2019,,"13""x13"" White Marble Chess Inlay Top Table With 15"" Tall Stand Christmas Gift","2,00","320,00","2,630,94",,"28,940,34",,,GB55CCPV37554454518615,
"Jones, Swanson and Smith",93769983,06/01/2019,,"18"" Marble Coffee Table Top Lapis Collectible Floral Inlay Kitchen Decors W335","5,00","956,24","2,630,94",,"28,940,34",,,GB55CCPV37554454518615,
Young-Wilkinson Robertson Inc,52721574,04/13/2019,,AMD Dual Core 3.9Ghz 4GB DDR3 500GB WiFi Windows 10 office Desktop PC Computer,"1,00","274,99","475,00",,"5,224,97",,,GB74ZCME87766646211207,
Young-Wilkinson Robertson Inc,52721574,04/13/2019,,Ryzen Gaming Computer,"5,00","4,136,00","475,00",,"5,224,97",,,GB74ZCME87766646211207,
Young-Wilkinson Robertson Inc,52721574,04/13/2019,,10 Core Gaming Computer Desktop PC Tower 1T 16GB R7 CUSTOM BUILT RED/BLACK,"2,00","813,98","475,00",,"5,224,97",,,GB74ZCME87766646211207,
Diaz LLC,65428348,07/27/2017,,Jams World Hawaiian D Dress Rayon SZ.L,"1,00","71,50","61,10",,"672,08",,,GB34FPYD88234862125581,
Diaz LLC,65428348,07/27/2017,,Liza Byrd Dress Sz L- Coral Green Medallion Print Short Sleeve 100% Cotton Line,"2,00","39,58","61,10",,"672,08",,,GB34FPYD88234862125581,
Diaz LLC,65428348,07/27/2017,,SCOTT MCCINTOCK SIZE 12 BLACK PARTY DRESS WITH SPARKLIND TOP,"5,00","137,50","61,10",,"672,08",,,GB34FPYD88234862125581,
Diaz LLC,65428348,07/27/2017,,Jams World Hawaiian D Dress Rayon SZ.L,"5,00","357,50","61,10",,"672,08",,,GB34FPYD88234862125581,
Diaz LLC,65428348,07/27/2017,,J crew Mercantile Women's Maxi Dress Size 2 Floral Tiered Lined Pink,"3,00","66,00","61,10",,"672,08",,,GB34FPYD88234862125581,
Smith-Flores,20527132,04/16/2018,,Handheld Video Game Console,"3,00","52,77","109,90",,"1,208,85",,,GB81QWVI10829940279192,
Smith-Flores,20527132,04/16/2018,,400 in 1 Mini Retro Console Built in Video Games,"2,00","935,00","109,90",,"1,208,85",,,GB81QWVI10829940279192,
Smith-Flores,20527132,04/16/2018,,NEW PSOne Console / NFL Game Day 2001 Gran Turismo 2 Pkg Unsealed,"1,00","45,10","109,90",,"1,208,85",,,GB81QWVI10829940279192,
Smith-Flores,20527132,04/16/2018,,Xbox 360 console with games,"2,00","175,98","109,90",,"1,208,85",,,GB81QWVI10829940279192,
Smith-Flores,20527132,04/16/2018,,Sony PlayStation 2 Console - Black (SCPH-39001) w/ 2 Controllers and 5 Games,,,"109,90",,"1,208,85",,,GB81QWVI10829940279192,
"Samantha,",57114004,03/20/2012,,Seashells of North America: A Guide to Field Ident,"3,00","14,82","1,35",,"14,82",,,GB73KBWT75185699279775,
